Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.24,0.2,0.38,37.3
0.25,0.19,0.29,37.4
0.26,0.18,0.32,37.5
0.25,0.2,0.3,37.6
0.28,0.19,0.36,37.7
0.26,0.19,0.29,37.8
0.27,0.22,0.31,37.9
0.27,0.2,0.29,38.0
0.26,0.21,0.28,38.1
0.24,0.19,0.3,38.2
0.25,0.2,0.26,38.3
0.27,0.2,0.3,38.4
0.26,0.19,0.29,38.5
0.25,0.2,0.27,38.6
0.26,0.2,0.27,38.7
0.26,0.18,0.31,38.8
0.25,0.18,0.28,38.9
0.26,0.19,0.32,39.0
0.26,0.18,0.28,39.1
0.25,0.19,0.3,39.2
0.24,0.18,0.31,39.3
0.25,0.2,0.27,39.4
0.23,0.19,0.27,39.5
0.25,0.2,0.3,39.6
0.26,0.19,0.33,39.7
0.26,0.2,0.3,39.8
0.26,0.18,0.29,39.9
0.24,0.19,0.28,40.0
0.25,0.2,0.3,40.1
0.28,0.18,0.26,40.2
0.28,0.22,0.3,40.3
0.27,0.19,0.34,40.4
0.27,0.18,0.28,40.5
0.25,0.2,0.25,40.6
0.26,0.2,0.32,40.7
0.24,0.21,0.31,40.8
0.26,0.2,0.32,40.9
0.27,0.23,0.31,41.0
0.27,0.22,0.28,41.1
0.26,0.25,0.29,41.2
0.28,0.21,0.31,41.3
0.28,0.22,0.31,41.4
0.24,0.23,0.33,41.5
0.24,0.23,0.29,41.6
0.24,0.23,0.32,41.7
0.24,0.27,0.33,41.8
0.23,0.24,0.32,41.9
0.25,0.22,0.31,42.0
0.24,0.24,0.31,42.1
0.26,0.24,0.33,42.2
0.25,0.21,0.32,42.3
0.25,0.22,0.32,42.4
0.26,0.25,0.31,42.5
0.25,0.23,0.3,42.6
0.24,0.21,0.33,42.7
0.25,0.23,0.33,42.8
0.25,0.23,0.33,42.9
0.25,0.24,0.3,43.0
0.25,0.25,0.32,43.1
0.26,0.21,0.29,43.2
0.25,0.22,0.32,43.3
0.23,0.23,0.32,43.4
0.26,0.25,0.29,43.5
0.27,0.24,0.34,43.6
0.23,0.2,0.32,43.7
0.24,0.28,0.29,43.8
0.25,0.24,0.28,43.9
0.24,0.25,0.32,44.0
0.25,0.25,0.3,44.1
0.25,0.26,0.31,44.2
0.25,0.24,0.29,44.3
0.27,0.23,0.31,44.4
0.26,0.22,0.31,44.5
0.26,0.22,0.33,44.6
0.26,0.23,0.34,44.7
0.24,0.24,0.32,44.8
0.26,0.23,0.33,44.9
0.25,0.23,0.33,45.0
0.26,0.22,0.32,45.1
0.26,0.27,0.34,45.2
0.25,0.25,0.34,45.3
0.27,0.22,0.36,45.4
0.27,0.24,0.32,45.5
0.25,0.26,0.36,45.6
0.26,0.22,0.35,45.7
0.27,0.28,0.33,45.8
0.27,0.23,0.36,45.9
0.26,0.24,0.38,46.0
