car_name,speed,safe_distance,reaction_time,stopping_time
AggressiveCar5,2.9,4.42,0.3,1.52
AggressiveCar6,2.6,3.96,0.3,1.52
AggressiveCar1,10.0,14.18,0.3,1.42
AggressiveCar2,10.0,13.9,0.3,1.39
AggressiveCar3,8.7,12.59,0.3,1.45
AggressiveCar4,8.4,12.06,0.3,1.44
AggressiveCar5,3.0,4.33,0.3,1.44
AggressiveCar6,2.7,4.13,0.3,1.53
AggressiveCar1,10.0,14.33,0.3,1.43
AggressiveCar2,10.0,13.84,0.3,1.38
AggressiveCar3,8.8,11.9,0.3,1.35
AggressiveCar4,8.5,12.42,0.3,1.46
AggressiveCar5,3.1,4.62,0.3,1.49
AggressiveCar6,2.8,3.96,0.3,1.41
AggressiveCar1,10.0,13.91,0.3,1.39
AggressiveCar2,10.0,13.31,0.3,1.33
AggressiveCar3,8.9,12.68,0.3,1.42
AggressiveCar4,8.6,12.73,0.3,1.48
AggressiveCar5,3.2,4.65,0.3,1.45
AggressiveCar6,2.9,4.26,0.3,1.47
AggressiveCar1,10.0,13.46,0.3,1.35
AggressiveCar2,10.0,14.03,0.3,1.4
AggressiveCar3,9.0,12.29,0.3,1.37
AggressiveCar4,8.7,12.67,0.3,1.46
AggressiveCar5,3.3,4.92,0.3,1.49
AggressiveCar6,3.0,4.44,0.3,1.48
AggressiveCar1,10.0,13.77,0.3,1.38
AggressiveCar2,10.0,13.9,0.3,1.39
AggressiveCar3,9.1,12.55,0.3,1.38
AggressiveCar4,8.8,12.48,0.3,1.42
AggressiveCar5,3.4,4.9,0.3,1.44
AggressiveCar6,3.1,4.7,0.3,1.52
AggressiveCar1,10.0,13.98,0.3,1.4
AggressiveCar2,10.0,13.56,0.3,1.36
AggressiveCar3,9.2,13.3,0.3,1.45
AggressiveCar4,8.9,12.91,0.3,1.45
AggressiveCar5,3.5,4.85,0.3,1.39
AggressiveCar6,3.2,4.75,0.3,1.48
AggressiveCar1,10.0,13.79,0.3,1.38
AggressiveCar2,10.0,14.26,0.3,1.43
AggressiveCar3,9.3,12.48,0.3,1.34
AggressiveCar4,9.0,12.26,0.3,1.36
AggressiveCar5,3.6,5.12,0.3,1.42
AggressiveCar6,3.3,4.93,0.3,1.49
AggressiveCar1,10.0,14.75,0.3,1.48
AggressiveCar2,10.0,13.59,0.3,1.36
AggressiveCar3,9.4,13.3,0.3,1.41
AggressiveCar4,9.1,13.11,0.3,1.44
AggressiveCar5,3.7,5.36,0.3,1.45
AggressiveCar6,3.4,5.02,0.3,1.48
AggressiveCar1,10.0,13.74,0.3,1.37
AggressiveCar2,10.0,13.36,0.3,1.34
AggressiveCar3,9.5,13.76,0.3,1.45
AggressiveCar4,9.2,13.0,0.3,1.41
AggressiveCar5,3.8,5.79,0.3,1.52
AggressiveCar6,3.5,5.16,0.3,1.47
AggressiveCar1,10.0,14.36,0.3,1.44
AggressiveCar2,10.0,14.22,0.3,1.42
AggressiveCar3,9.6,13.27,0.3,1.38
AggressiveCar4,9.3,13.55,0.3,1.46
AggressiveCar5,3.9,5.77,0.3,1.48
AggressiveCar6,3.6,5.12,0.3,1.42
AggressiveCar1,10.0,13.61,0.3,1.36
AggressiveCar2,10.0,13.95,0.3,1.4
AggressiveCar3,9.7,13.78,0.3,1.42
AggressiveCar4,9.4,13.86,0.3,1.47
AggressiveCar5,4.0,5.61,0.3,1.4
AggressiveCar6,3.7,5.51,0.3,1.49
AggressiveCar1,10.0,14.0,0.3,1.4
AggressiveCar2,10.0,14.05,0.3,1.41
AggressiveCar3,9.8,13.6,0.3,1.39
AggressiveCar4,9.5,13.65,0.3,1.44
AggressiveCar5,4.1,5.75,0.3,1.4
AggressiveCar6,3.8,5.6,0.3,1.47
AggressiveCar1,10.0,14.11,0.3,1.41
AggressiveCar2,10.0,14.34,0.3,1.43
AggressiveCar3,9.9,14.57,0.3,1.47
AggressiveCar4,9.6,14.02,0.3,1.46
AggressiveCar5,4.2,6.38,0.3,1.52
